央视频道,#genre#
空中课堂高三年级,http://www.baopiqi.top:4022/udp/239.45.1.39:5140 
空中课堂高二年级,http://www.baopiqi.top:4022/udp/239.45.1.38:5140 
东方购物直播,http://www.baopiqi.top:4022/udp/239.45.3.74:5140 
大购物优选,http://www.baopiqi.top:4022/udp/239.45.3.75:5140 
东方购物优选,http://www.baopiqi.top:4022/udp/239.45.1.111:5140 
东方购物-3,http://www.baopiqi.top:4022/udp/239.45.3.207:5140 
东方购物-4,http://www.baopiqi.top:4022/udp/239.45.3.208:5140 
东方购物-5,http://www.baopiqi.top:4022/udp/239.45.3.253:5140 
聚鲨环球精选,http://www.baopiqi.top:4022/udp/239.45.3.123:5140 
央广购物,http://www.baopiqi.top:4022/udp/239.45.3.213:5140 
家家购物,http://www.baopiqi.top:4022/udp/239.45.3.179:5140 
快乐购物,http://www.baopiqi.top:4022/udp/239.45.1.53:5140 
优购物,http://www.baopiqi.top:4022/udp/239.45.1.114:5140 
好享购物,http://www.baopiqi.top:4022/udp/239.45.1.253:5140 
中央购物,http://www.baopiqi.top:4022/udp/239.45.3.79:5140 
家有购物,http://www.baopiqi.top:4022/udp/239.45.1.43:5140 
风尚购物,http://www.baopiqi.top:4022/udp/239.45.1.27:5140 
中视购物,http://www.baopiqi.top:4022/udp/239.45.1.56:5140 
大恩好物,http://www.baopiqi.top:4022/udp/239.45.1.57:5140
